skier,title,url,search_term
Lucas Braathen,Lucas Braathen on ice - Slalom Training,https://www.youtube.com/watch?v=eIZvf0g3tBM,Slalom training
Lucas Braathen,Braathen   Training GS   HD 720p,https://www.youtube.com/watch?v=_nu77oXSzfY,Slalom training
Lucas Braathen,Lucas 10 years GS Training,https://www.youtube.com/watch?v=npvGcKq-8z0,Slalom training
Lucas Braathen,The Best 2nd Runs EVER in Slalom,https://www.youtube.com/watch?v=Z8BkVKoJ9Q4,SL training run
Lucas Braathen,Lucas Braathen 2nd run - men's GS Solden AUT 2022,https://www.youtube.com/watch?v=03miQxidX4c,SL training run
Lucas Braathen,"Lucas Braathen 🇳🇴 - men's slalom Kitzbuhel (2nd run), Jan 22, 2023 #weareskiing @atomic",https://www.youtube.com/watch?v=6AXf7vJd5Fs,Slalom race run
Lucas Braathen,"Lucas Braathen 🇳🇴 - men's slalom Kitzbuhel (1st run), Jan 22, 2023 #weareskiing @atomic",https://www.youtube.com/watch?v=n0h3Z4reJFA,Slalom race run
Lucas Braathen,"Lucas Braathen 🇳🇴 - men's GS Alta Badia (2nd run), Dec 18, 2022 #weareskiing @atomic",https://www.youtube.com/watch?v=s7RodrEtkgk,Slalom race run
Lucas Braathen,Lucas BRAATHEN - EUROPA CUP GS Kranjska Gora 2019,https://www.youtube.com/watch?v=tHZAGLu73b8,Slalom World Cup
Lucas Braathen,Lucas Braathen - 1. Platz - Slalom Val d'Isère 2022,https://www.youtube.com/watch?v=K0qmVWHQgXA,SL race
Lucas Braathen,"Brazil’s first victory, Braathen takes it in Levi | FIS Alpine",https://www.youtube.com/watch?v=g5Ex11GmvOY,Slalom technique
Lucas Braathen,2 of Lucas Pinheiro Braathen's wins during 2022 2023 season,https://www.youtube.com/watch?v=brUgA4KVJ8w,Slalom technique
Henrik Kristoffersen,Henrik Kristoffersen slalom training in Saas-Fee Summer 2021,https://www.youtube.com/watch?v=5Uz2B74hCsk,Slalom training
Henrik Kristoffersen,Back on snow Henrik Kristoffersen summer  ski training alpine skiing Saas-Fee glacier slalom drills,https://www.youtube.com/watch?v=DpnhBcumr-U,Slalom training
Henrik Kristoffersen,Henrik kristoffersen GS Training,https://www.youtube.com/watch?v=KbtNhyjMGtE,Slalom training
Henrik Kristoffersen,Henrick Kristofferson SL GS Training,https://www.youtube.com/watch?v=VbiXE3K6-KQ,SL training run
Henrik Kristoffersen,This is Kristoffersen's House | Schladming Slalom Winning Run | FIS Alpine,https://www.youtube.com/watch?v=MU0kN6qscDg,Slalom race run
Henrik Kristoffersen,"World’s Best Alpine Skiers Meet at Kitzbühel, Austria | In Search Of Speed",https://www.youtube.com/watch?v=fDMHBNf-teI,Slalom race run
Henrik Kristoffersen,Henrik Kristoffersen takes first GS win since 2022 | FIS Alpine World Cup 24-25,https://www.youtube.com/watch?v=Y5_zyJt9JlE,Slalom race run
Henrik Kristoffersen,Henrik Kristoffersen - Slalom World Champion 2023 | FIS Alpine,https://www.youtube.com/watch?v=tl4cKUWa05M,Slalom World Cup
Henrik Kristoffersen,Kristoffersen returns on top pf the podium at Val d'Isère | FIS Alpine World Cup 24-25,https://www.youtube.com/watch?v=xPrZqiJ5omY,Slalom World Cup
Henrik Kristoffersen,Henrik Kristoffersen | Gold Medal | Men's Giant Slalom | Are | FIS World Alpine Ski Championships,https://www.youtube.com/watch?v=aVRmufk-UXI,Slalom World Cup
Henrik Kristoffersen,"Henrik Kristoffersen: Lessons from a Father, Coach, and Champion | Alpine Pulse",https://www.youtube.com/watch?v=Z6ilHy7xA5g,Slalom technique
Henrik Kristoffersen,HENRIK KRISTOFFERSEN SKI BASICS MASTERCLASS,https://www.youtube.com/watch?v=6ZiWxaldc6I,Slalom technique
Henrik Kristoffersen,Henrik Kristoffersen_Sept 2014,https://www.youtube.com/watch?v=USSTdg7Fq_Q,Slalom technique
