rank,image,gt_count,pred_count,tp,fp,fn,error_score
1,000246_uLW74013Wp0_4_uLW74013Wp0_4_00014_png.rf.5d362d2e166cb5aced04b6763611c3f3_40ccae57.jpg,6,3,1,2,5,7
2,000159_unseen_2911_SL_frame0403_jpg.rf.6a4401d11d50d658ff76ea4b6701a02c_f3988d94.jpg,11,10,7,3,4,7
3,000154_unseen_2907_SL_frame0132_jpg.rf.c245e1534bce98d2b3241dc3ca379380_38ec7d20.jpg,13,15,11,4,2,6
4,000153_unseen_2907_SL_frame0033_jpg.rf.c691c80019d2683aaa4dbc8ce825864c_af52e14d.jpg,14,15,12,3,2,5
5,000239_SL__MS-SL__frame_0049_jpg.rf.491f317296900ee4c320e084a9b40937_b4ddcffe.jpg,3,5,2,3,1,4
6,000003_v8_div_balv2_0069__GS__Lucas_GS_T-mov__t9-28_jpg.rf.995e8525d0d64d547f6d008377cb_879c693f.jpg,10,11,9,2,1,3
7,000160_unseen_2911_SL_frame0434_jpg.rf.613b916eb106583515f47bd43fba4f6a_e82973a9.jpg,2,3,1,2,1,3
8,000234_GS__MO-GS-R__frame_0107_jpg.rf.41b522df4a0c56775e6f847fb63431b0_1c8cdd1e.jpg,4,5,3,2,1,3
9,000240_SL__Mikaela-Shifferin-Slolom2__frame_0034_jpg.rf.551f25fb6dc5f793fc6866d16cac668_893423cd.jpg,5,6,4,2,1,3
10,000235_GS__MO-GS-T3__frame_0063_jpg.rf.398630678aa39ef4761ce2b5cf5787ff_0212c83f.jpg,2,5,2,3,0,3
11,000007_v8_div_balv2_0150__Videos__he3w2n9WvrI__16-mp4__t5-98_jpg.rf.90c766a6cd466c2bfc4_d339fc30.jpg,2,0,0,0,2,2
12,000008_v8_div_balv2_0161__Videos__he3w2n9WvrI__10-mp4__t5-98_jpg.rf.19ba2b430791579b997_edd50986.jpg,2,0,0,0,2,2
13,000156_unseen_2907_SL_frame0627_jpg.rf.7c568240e805ffc690e1db7a21e17343_4a154de4.jpg,4,2,2,0,2,2
14,000157_unseen_2909_SL_frame0504_jpg.rf.7367dfedcc51adf5195ad7d4f429bb42_027f6eae.jpg,5,3,3,0,2,2
15,000014_v8_div_balv2_0264__Videos__qxfgw1Kd98A__2-mp4__t4-81_jpg.rf.0f30ccca9cdc0aa05864_f6a715ff.jpg,1,1,0,1,1,2
16,000232_GS__MO-GS-R4__frame_0057_jpg.rf.e0e48e99e58216e9ff1d73751816a8fc_8289c1e1.jpg,4,4,3,1,1,2
17,000241_he3w2n9WvrI_10_he3w2n9WvrI_10_00000_png.rf.e146b2209da578a4bef862a3402993f6_2e3b9379.jpg,2,2,1,1,1,2
18,000245_uLW74013Wp0_16_uLW74013Wp0_16_00003_png.rf.93148710c4e9f1aa3b5520d5002647bb_fc3cafca.jpg,4,4,3,1,1,2
19,000006_v8_div_balv2_0143__Videos__5UHRvqx1iuQ__0-mp4__t2-41_jpg.rf.56214351a2ce4fce5581_4111112f.jpg,1,0,0,0,1,1
20,000238_SL__MS-SL__frame_0038_jpg.rf.ff4963d91cc172bc765e2c00469d2d59_46addf7b.jpg,3,2,2,0,1,1
